COUNTRY,PDOnam,Registration,WINE_NAME,Color,Category,PRIMARY_VINE_VARIETIES,SECONDARY_VINE_VARIETIES,Max_yield_hl,Max_yield_kg,Min_density
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Rosé Classico,Rosé,Sparkling Wine,Montepulciano N; Pinot Nero N,Aglianico N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Canaiolo Nero N; Cannonau N; Ciliegiolo N; Dolcetto N; Gaglioppo N; Maiolica N; Malbech N; Marzemino N; Merlot N; Nebbiolo N; Petit Verdot N; Primitivo N; Refosco Nostrano N; Sangiovese N; Syrah N; Tannat N; Terrano N,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Cococciola,White,Wine,Cococciola B,Barbera Bianca B; Biancame B; Bombino Bianco B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Cococciola Superiore,White,Wine,Cococciola B,Barbera Bianca B; Biancame B; Bombino Bianco B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Malvasia,White,Wine,Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Malvasia Superiore,White,Wine,Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Montonico,White,Wine,Montonico Bianco B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Montonico Superiore,White,Wine,Montonico Bianco B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,70,10000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Passerina,White,Wine,Passerina B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Passerina Superiore,White,Wine,Passerina B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Pecorino B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Pecorino,White,Wine,Pecorino B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,98,14000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Pecorino Superiore,White,Wine,Pecorino B,Barbera Bianca B; Biancame B; Bombino Bianco B; Cococciola B; Falanghina B; Fiano B; Garganega B; Grechetto B; Greco B; Incrocio Bianco Fedit 51 C.S.G. B; Kerner B; Malvasia Bianca Di Candia B; Malvasia Bianca Lunga B; Malvasia Del Lazio B; Malvasia Istriana B; Manzoni Bianco B; Montonico Bianco B; Moscato Bianco B; Mostosa B; Passerina B; Petit Manseng B; Pinot Bianco B; Regina B; Regina Dei Vigneti B; Riesling Italico B; Riesling Renano B; Sauvignon B; Semillon B; Sylvaner Verde B; Tocai Friulano B; Trebbiano Abruzzese B; Trebbiano Toscano B; Veltliner B; Verdicchio Bianco B; Vermentino B; Viognier B,84,12000,2000
Italy,Abruzzo,12/16/2011 0:00,Abruzzo Spumante Rosé Classico,Rosé,Quality Sparkling Wine,Montepulciano N; Pinot Nero N,Aglianico N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Canaiolo Nero N; Cannonau N; Ciliegiolo N; Dolcetto N; Gaglioppo N; Maiolica N; Malbech N; Marzemino N; Merlot N; Nebbiolo N; Petit Verdot N; Primitivo N; Refosco Nostrano N; Sangiovese N; Syrah N; Tannat N; Terrano N,84,12000,2000
Italy,Aglianico del Taburno,11/15/1996 0:00,Aglianico del Taburno Rosso,Red,Wine,Aglianico N,Aglianicone N; Ancellotta N; Barbera N; Cabernet Sauvignon N; Lambrusco Maestri N; Merlot N; Montepulciano N; Piedirosso N; Pinot Nero N; Primitivo N; Sangiovese N; Sciascinoso N; Uva Di Troia N,63,9000,3000
Italy,Aglianico del Taburno,11/15/1996 0:00,Aglianico del Taburno Rosso Riserva,Red,Wine,Aglianico N,Aglianicone N; Ancellotta N; Barbera N; Cabernet Sauvignon N; Lambrusco Maestri N; Merlot N; Montepulciano N; Piedirosso N; Pinot Nero N; Primitivo N; Sangiovese N; Sciascinoso N; Uva Di Troia N,63,9000,3000
Italy,Aglianico del Taburno,11/15/1996 0:00,Aglianico del Taburno Rosato,Rosé,Wine,Aglianico N,Aglianicone N; Ancellotta N; Barbera N; Cabernet Sauvignon N; Lambrusco Maestri N; Merlot N; Montepulciano N; Piedirosso N; Pinot Nero N; Primitivo N; Sangiovese N; Sciascinoso N; Uva Di Troia N,58,,
Italy,Aglianico del Vulture,9/18/1973 0:00,Aglianico del Vulture,Red,Wine,Aglianico Del Vulture N; Aglianico N,na,70,10000,3350
Italy,Aglianico del Vulture,9/18/1973 0:00,Aglianico del Vulture Spumante,Red,Sparkling Wine,Aglianico Del Vulture N; Aglianico N,na,70,10000,3350
Italy,Aglianico del Vulture Superiore,12/13/2011 0:00,Aglianico del Vulture Superiore,Red,Wine,Aglianico Del Vulture N; Aglianico N,na,52,8000,3350
Italy,Aglianico del Vulture Superiore,12/13/2011 0:00,Aglianico del Vulture Superiore Riserva,Red,Wine,Aglianico Del Vulture N; Aglianico N,na,52,8000,3350
France,Ajaccio,11/15/1996 0:00,Ajaccio,Red,Wine,Barbaroux Rs; Nielluccio N; Sciacarello N; Vermentino B,Aléatico N; Carcajolo N; Carignan N; Cinsaut N; Grenache N; Morrastel N,50,na,4000
France,Ajaccio,11/15/1996 0:00,Ajaccio,White,Wine,Vermentino B,Biancu Gentile B; Codivarta B; Genovèse B; Ugni Blanc B,50,na,4000
Italy,Albugnano,4/14/2004 0:00,Albugnano,Red,Wine,Barbera N; Bonarda N; Freisa N; Nebbiolo N,na,66,,
Italy,Albugnano,4/14/2004 0:00,Albugnano Superiore,Red,Wine,Barbera N; Bonarda N; Freisa N; Nebbiolo N,na,59,,
Italy,Albugnano,4/14/2004 0:00,Albugnano Rosato,Rosé,Wine,Barbera N; Bonarda N; Freisa N; Nebbiolo N,na,66,,
Italy,Alcamo,9/18/1973 0:00,Alcamo Bianco,White,Wine,Ansonica B; Chardonnay B; Grecanico Dorato B; Grillo B; Mueller Thurgau B; Sauvignon B,Aglianico N; Albanello B; Alicante Bouschet N; Alicante N; Ancellotta N; Barbera N; Cabernet Franc N; Cabernet Sauvignon N; Calabrese N; Carignano N; Carricante B; Catanese Nero N; Catarratto Bianco Comune B; Catarratto Bianco Lucido B; Chenin B; Ciliegiolo N; Corinto Nero N; Damaschino B; Fiano B; Frappato N; Gaglioppo N; Glera B; Malbech N; Malvasia Bianca B; Malvasia Di Lipari B; Manzoni Bianco B; Merlot N; Minnella Bianca B; Mondeuse N; Montepulciano N; Montonico Bianco B; Moscato Bianco B; Moscato Giallo B; Nerello Cappuccio N; Nerello Mascalese N; Nocera N; Perricone N; Petit Manseng B; Petit Verdot N; Pinot Bianco B; Pinot Grigio G; Pinot Nero N; Riesling Renano B; Sangiovese N; Semillon B; Syrah N; Tannat N; Tempranillo N; Traminer Aromatico Rs; Trebbiano Toscano B; Vermentino B; Vernaccia Di S. Giminiano B; Viognier B; Zibibbo B,84,12000,2500
